source,created_at,text,labeled_period,id
Android,2015-06-16T12:20:40Z,Big time in U.S. today - MAKE AMERICA GREAT AGAIN! Politicians are all talk and no action - they can never bring us back.,1,1
iPhone,2015-06-16T14:31:51Z,Make sure to follow me on @periscopeco. I will be streaming my announcement at 11AM.,1,2
Android,2015-06-20T01:03:05Z,Why did @DanaPerino beg me for a tweet (endorsement) when her book was launched?,1,3
Android,2015-06-20T01:15:22Z,"I like Mexico and love the spirit of  Mexican people, but we must protect our borders from people, from all over, pouring into the U.S.",1,4
Android,2015-06-20T01:54:25Z,Mexico is killing the United States economically because their leaders and negotiators are FAR smarter than ours. But nobody beats Trump!,1,5
Android,2015-06-20T02:22:29Z,"Druggies, drug dealers, rapists and killers are coming across the southern border. When will the U.S. get smart and stop this travesty?",1,6
Android,2015-06-20T23:48:43Z,My speech is right now on C-SPAN 1,1,7
Android,2015-06-21T00:25:21Z,Thank you @AnnCoulter for your nice words. The U.S. is becoming a dumping ground for the world. Pols don't get it. Make America Great Again!,1,8
Android,2015-06-21T00:57:54Z,"Who would you rather have negotiating for the U.S. against Putin, Iran, China, etc., Donald Trump or Hillary? Is there even a little doubt?",1,9
Android,2015-06-21T23:50:55Z,"The great Mike Wallace covered me in a much more professional manner than his son, Chris Wallace of @FoxNews. Mike was a total pro!",1,10
Android,2015-06-22T10:31:26Z,"Sadly, I will no longer be doing @foxandfriends at 7:00 A.M. on Mondays. This is because I am running for president and law prohibits. LOVE!",1,11
Android,2015-06-22T10:39:21Z,"I want to thank Elizabeth, Steve, Brian and all of the great folks of @foxandfriends for the long and successful run we had together. NICE!",1,12
Android,2015-06-24T12:12:37Z,"The highly respected Suffolk University poll just announced that I am alone in 2nd place in New Hampshire, with Jeb Bust (Bush) in first.",1,13
Android,2015-06-25T00:36:14Z,Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers,1,14
Android,2015-06-25T00:48:24Z,"Just out, the new nationwide @FoxNews poll has me alone in 2nd place, closely behind Jeb Bush-but Bush will NEVER Make America Great Again!",1,15
Android,2015-06-25T01:00:32Z,"I am really beginning to respect Mark Halperin and John Heilemann as political reporters - they truly get why ""Trump"" poll numbers are high.",1,16
Android,2015-06-25T01:55:14Z,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to  sleep. Dead T.V.,1,17
Android,2015-06-25T02:11:01Z,"My daughter Ivanka did great tonight in New Hampshire. The sold out crowd loved her, and she loved them. Thanks Ivanka!",1,18
Android,2015-06-25T02:16:38Z,"My message, MAKE AMERICA GREAT AGAIN, is beginning to take hold. Bring back our jobs, strengthen our military and borders, help our VETS!",1,19
Android,2015-06-25T03:17:46Z,We have to bring back and cherish the middle class - once the backbone and true strength of the U.S.A. It can happen!,1,20
Android,2015-06-25T12:19:39Z,"I hear that dopey political pundit, Lawrence O'Donnell, one of the dumber people on television, is about to lose his show-no ratings?Too bad",1,21
Android,2015-06-25T12:29:09Z,Governor Rick Scott of Florida did really poorly on television this morning. I hope he is O.K.,1,22
Android,2015-06-27T14:50:19Z,"When somebody challenges you unfairly, fight back - be brutal, be tough - don't take it. It is always important to WIN!",1,23
Android,2015-06-27T14:52:12Z,"When you are in a war, or even a battle, losing is not an option!",1,24
Android,2015-06-27T17:17:08Z,Only very stupid people think that the United States is making good trade deals with Mexico.Mexico is killing us at the border and at trade!,1,25
Android,2015-06-27T17:20:20Z,The leader and negotiators representing Mexico are far smarter and more cunning than the leader and negotiators representing the U.S.!,1,26
Android,2015-06-27T17:41:33Z,"I'll be in Iowa tonight making a speech to a record setting crowd. The word is getting out, MAKE AMERICA GREAT AGAIN!",1,27
Android,2015-06-28T20:21:51Z,Will be in Chicago tomorrow for a record setting (by far) luncheon.,1,28
Android,2015-06-28T21:12:37Z,See story in Fusion and Huff. Post about rape at the border. Beyond terrible! Isn't Fusion owned by Univision?,1,29
iPhone,2015-06-28T23:34:33Z,Univision apologized to me but I will not accept their apology. I will be suing them for a lot of money. Miss U.S.A. contestants are hurt!,1,30
Android,2015-06-29T10:52:03Z,I will be speaking at the City Club of Chicago luncheon today where they turned away thousands of people (Sun Times). Get a larger room!,1,31
Android,2015-06-29T11:40:38Z,"Saudi Arabia should be paying the United States many billions of dollars for our defense of them. Without us, gone!  @AlWaleedbinT",1,32
Android,2015-06-29T11:54:39Z,"Remember, Univision apologized!",1,33
Android,2015-06-30T12:35:44Z,"We MUST have strong borders and stop illegal immigration. Without that we do not have a country. Also, Mexico is killing U.S. on trade. WIN!",1,34
Android,2015-06-30T12:57:28Z,"I love the Mexican people, but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!",1,35
Android,2015-07-03T04:19:53Z,"As Governor of Texas, Rick Perry could have done far more to secure the border - but that's O.K., I like him anyway!  @GovernorPerry",1,36
Android,2015-07-03T11:09:51Z,Mexican leaders and negotiators are much tougher and smarter than those of the U.S. Mexico is killing us on jobs and trade. WAKE UP!,1,37
Android,2015-07-03T11:22:38Z,"Wow, Huffington Post just stated that I am number 1 in the polls of Republican candidates. Thank you, but the work has just begun!",1,38
Android,2015-07-04T12:05:49Z,I will be on @foxandfriends this morning at 8:30. Enjoy!,1,39
Android,2015-07-04T13:16:44Z,HAPPY 4TH OF JULY TO EVERYONE!  MAKE AMERICA GREAT AGAIN!,1,40
Android,2015-07-04T22:15:01Z,What about the undocumented immigrant with a record who killed the beautiful young women (in front of her father) in San Fran. Get smart!,1,41
Android,2015-07-04T22:28:56Z,Why would Republican candidates want the support of Mitt Romney. He lost an election against Obama that should NEVER have been lost!,1,42
Android,2015-07-05T08:57:17Z,"Miss Universe, Paulina Vega, criticized me for telling the truth about illegal immigration, but then said she would keep the crown-Hypocrite",1,43
Android,2015-07-06T00:27:15Z,"Thank you @loudobbsnews, I will be trying very hard to prove you right - great show!",1,44
Android,2015-07-06T00:47:54Z,I said simply that the Mexican leaders and negotiators are smarter than ours and that the Mexican gov't is pushing their hard core to U.S.,1,45
Android,2015-07-07T02:48:36Z,We have got to take our country back. It's time!,1,46
Android,2015-07-08T11:22:53Z,I will be in California this weekend making a speech for Clint Eastwood. Then to Arizona and Vegas. Big crowds. Discussing illegals &amp; more!,1,47
Android,2015-07-09T11:14:56Z,Do you believe that highly overrated political pundit  @krauthammer said this is the best Republican field in 35 years. What a dope!,1,48
Android,2015-07-09T11:25:43Z,"Jeb's brother George insisted on a $100,000 fee and $20,000 for a private jet to speak at a charity for severely wounded vets. Not nice!",1,49
Android,2015-07-09T12:09:13Z,"You mean George Bush sends our soldiers into combat, they are severely wounded, and then he wants $120,000 to make a boring speech to them?",1,50
Android,2015-07-10T13:25:34Z,Iran continues to delay the nuclear deal while doing many bad things behind our backs. Time to WALK and double the sanctions. Stop payments!,1,51
iPhone,2015-07-10T23:18:29Z,http://t.co/PtViAyrO4A,1,52
Android,2015-07-11T05:03:50Z,"Look forward to being in Phoenix tomorrow at 2:00 P.M. Hottest ticket in entire country. Was supposed to be 500 people, now many thousands!",1,53
Android,2015-07-11T05:08:12Z,I love that thousands of people are boycotting @Macys and cutting up credit cards. No guts no glory. This really backfired - love it!,1,54
Android,2015-07-11T11:44:39Z,Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!,1,55
Android,2015-07-11T11:46:36Z,Boycott @Macys and @Univision. MAKE AMERICA GREAT AGAIN!,1,56
Android,2015-07-11T14:49:40Z,Getting ready to go to Las Vegas (Freedom Fest) - great crowd. Then on to amazing Phoenix - that will be a total happening! Love America.,1,57
iPhone,2015-07-12T00:56:56Z,I will not be able to attend the Miss USA pageant tomorrow night because I am campaigning in Phoenix. Wishing all well!,1,58
Android,2015-07-12T13:18:21Z,"Convention Center officials in Phoenix don't want to admit that they broke the fire code by allowing 12-15,000 people in 4,000 code room.",1,59
Android,2015-07-12T13:21:24Z,"Phoenix Convention Center officials did not want to have thousands of people standing outside in the heat, so they let them in. A GREAT day!",1,60
iPhone,2015-07-12T21:03:19Z,Mexico's biggest drug lord escapes from jail. Unbelievable corruption and USA is paying the price.  I told you so!,1,61
iPhone,2015-07-12T21:08:52Z,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!,1,62
iPhone,2015-07-13T00:25:37Z,"Can you envision Jeb Bush or Hillary Clinton negotiating with 'El Chapo', the Mexican drug lord who escaped from prison? ....",1,63
Android,2015-07-13T00:29:05Z,"...Trump, however, would kick his ass!",1,64
Android,2015-07-13T00:36:25Z,I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!,1,65
Android,2015-07-13T02:10:23Z,"Now that the Mexican drug lord escaped from prison, everyone is saying that most of the cocaine etc. coming into the U.S. comes over border!",1,66
Android,2015-07-13T02:14:13Z,.....but that's what I've been saying. Very unfair treatment by the media!,1,67
Android,2015-07-13T04:05:42Z,"The U.S. will invite El Chapo, the Mexican drug lord who just escaped prison, to become a U.S. citizen because our ""leaders"" can't say no!",1,68
Android,2015-07-13T10:47:36Z,"El Chapo and the Mexican drug cartels use the border unimpeded like it was a  vacuum cleaner, sucking drugs and death right into the U.S.",1,69
Android,2015-07-13T10:53:14Z,"....likewise, billions of dollars gets brought into Mexico    through the border. We get the killers, drugs &amp; crime, they get the money!",1,70
Android,2015-07-13T10:59:19Z,"When will people, and the media, start to apologize to me for my statement, ""Mexico is sending...."", which turned out to be true?  El Chapo",1,71
